"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","eids-badge__description","eids-badge__label","he-lazy-image src 2","he-lazy-image src 3","list-view-header"
"https://www.hepsiemlak.com/istanbul-uskudar-guzeltepe-kiralik/daire/6231-15827","21","232.500","03-03-2025","Kiralık Daire","4 +
                          1","234 m²","2
                        Yaşında","2. Kat","İstanbul / Üsküdar / Güzeltepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/space-istanbul-gayrimenkul-6231","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Space İstanbul Gayrimenkul","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/7/2/2/9/1/0/4/4/3e2cb40f-e759-49e9-b17c-eaea4506063e.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/3/2/6/0/0/c1af0d37-bffe-4f0f-b732-0b6ea8d7a667.jpg",""
"https://www.hepsiemlak.com/istanbul-besiktas-bebek-kiralik/daire/6231-15864","9","250.000","28-02-2025","Kiralık Daire","3 +
                          1","230 m²","60
                        Yaşında","En Üst Kat","İstanbul / Beşiktaş / Bebek Mah.","https://www.hepsiemlak.com/emlak-ofisi/space-istanbul-gayrimenkul-6231","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Space İstanbul Gayrimenkul","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/1/6/0/4/8/0/4/4/5edb5edd-6165-48d8-bf38-7b6c7e34334c.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/3/2/6/0/0/c1af0d37-bffe-4f0f-b732-0b6ea8d7a667.jpg",""
"https://www.hepsiemlak.com/istanbul-eyupsultan-gokturk-merkez-kiralik/daire/6231-15881","30","260.000","28-02-2025","Kiralık Daire","6 +
                          2","950 m²","Sıfır Bina","2. Kat","İstanbul / Eyüpsultan / Göktürk Merkez Mah.","https://www.hepsiemlak.com/emlak-ofisi/space-istanbul-gayrimenkul-6231","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Space İstanbul Gayrimenkul","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/6/2/7/0/3/2/4/4/0dc4e67e-8fb3-4873-b894-9f17b765cd5c.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/3/2/6/0/0/c1af0d37-bffe-4f0f-b732-0b6ea8d7a667.jpg",""
"https://www.hepsiemlak.com/istanbul-sisli-esentepe-kiralik/residence/2969-39295","9","540.000","04-03-2025","Kiralık Residence","4 +
                          1","700 m²","18
                        Yaşında","18. Kat","İstanbul / Şişli / Esentepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/sara-eskinaz-proje-ve-emlak-paz-ltd-sti-2969/sara-eskinaz-2969","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Sara Eskinaz Proje Ve Emlak Paz. LTD. ŞTİ.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/5/6/8/7/7/1/4/4/c7477f18-ffc5-4866-9843-1eada6b1b1a1.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/9/6/9/2/0/0/33d7e2aa-6628-4d51-b49a-b46010c02afe.jpg",""
"https://www.hepsiemlak.com/istanbul-bahcelievler-bahcelievler-kiralik/daire/141995-66","46","65.000","01-03-2025","Kiralık Daire","5 +
                          1","220 m²","37
                        Yaşında","9. Kat","İstanbul / Bahçelievler / Bahçelievler Mah.","","","","","","","","Bahçelievler'de Eşyalı Kiralık 5+1esyalı Daire/ağaoğlu My City Rams Garden Yakını For Rent Apartment"
"https://www.hepsiemlak.com/istanbul-esenyurt-cumhuriyet-kiralik/daire/155429-2","32","22.000","03-03-2025","Kiralık Daire","1 +
                          1","82 m²","5
                        Yaşında","12. Kat","İstanbul / Esenyurt / Cumhuriyet Mah.","https://www.hepsiemlak.com/emlak-ofisi/expertiz-gayrimenkul-155429","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Expertiz Gayrimenkul","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/2/4/5/5/1/a94d7117-98cf-4a31-80f0-65184a59698b.jpg","","Beylıkduzu  Full Esyalı 1+1 Metrobuse Yakın  Muhtesem   _ 22.000"
"https://www.hepsiemlak.com/istanbul-pendik-yenisehir-kiralik/daire/1887-1162","24","26.000","17-02-2025","Kiralık Daire","3 +
                          1","120 m²","22
                        Yaşında","Ara Kat","İstanbul / Pendik / Yenişehir Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","","","Ares'ten Kurtköy Yenişehir'de Site İçinde 3+1 Kiralık Daire"
"https://www.hepsiemlak.com/istanbul-esenyurt-asik-veysel-kiralik/daire/18249-1459","20","23.500","01-03-2025","Kiralık Daire","3 +
                          1","145 m²","26
                        Yaşında","2. Kat","İstanbul / Esenyurt / Aşık Veysel Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/0/5/6/6/3/3/4/9c881fc6-1c56-4413-938a-f8a9248783e0.jpg","","Esenkent Menekşe 4 Katlı Bina 126m 2 Banyolu Kombili Kiralık Daire"
"https://www.hepsiemlak.com/istanbul-bahcelievler-siyavuspasa-kiralik/daire/21218-4671","16","25.000","25-02-2025","Kiralık Daire","2 +
                          1","70 m²","2
                        Yaşında","Bahçe Katı","İstanbul / Bahçelievler / Siyavuşpaşa Mah.","","","","","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/3/2/1/9/1/4/4/1739537657-92683-44191236.jpeg","","Bahçelievler Çamlık Caddesi Yakını 2 Yıllık Binada 2+1 Kiralık Bahçe Katı Daire"
"https://www.hepsiemlak.com/istanbul-beyoglu-kadimehmet-efendi-kiralik/daire/49135-2720","15","19.000","01-03-2025","Kiralık Daire","2 +
                          1","85 m²","15
                        Yaşında","1. Kat","İstanbul / Beyoğlu / Kadımehmet Efendi Mah.","","","","","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/9/5/4/0/2/4/4/0b961bf5-b380-4601-a9c3-363a23d1ef17.jpg","","Beyoğlu Kasımpaşa Kulaksız Dutdibinde, Yeni Binada Satılık 2+1, Asansörlü Daire - Sözgen'den-268k"
