city,district,neighborhood,room,living room,area,age,floor,price
İstanbul, Beşiktaş , Mecidiye Mah.,2,2,85,43,3,400
İstanbul, Kağıthane , Nurtepe Mah.,3,1,170,25,4,205
İstanbul, Kağıthane , Ortabayır Mah.,1,1,53,10,7,280
İstanbul, Eyüpsultan , Göktürk Merkez Mah.,3,1,165,10,1,650
İstanbul, Beşiktaş , Yıldız Mah.,4,1,240,30,0,1700
İstanbul, Beylikdüzü , Cumhuriyet Mah.,2,1,150,8,5,250
İstanbul, Beşiktaş , Abbasağa Mah.,1,1,68,45,1,280
İstanbul, Pendik , Esenler Mah.,1,1,70,8,2,220
İstanbul, Avcılar , Gümüşpala Mah.,3,1,120,7,0,245
İstanbul, Bahçelievler , Siyavuşpaşa Mah.,3,1,125,28,3,250
İstanbul, Üsküdar , Yavuztürk Mah.,3,1,130,19,3,350
İstanbul, Sarıyer , Poligon Mah.,3,1,118,28,2,450
İstanbul, Kağıthane , Sultan Selim Mah.,2,1,80,28,3,140
İstanbul, Arnavutköy , Boğazköy İstiklal Mah.,4,2,145,8,2,200
İstanbul, Kartal , Hürriyet Mah.,3,1,105,7,2,2125
İstanbul, Kadıköy , Zühtüpaşa Mah.,3,1,110,19,3,650
İstanbul, Sarıyer , Kireçburnu Mah.,2,1,85,28,2,250
İstanbul, Sultangazi , Yunus Emre Mah.,1,1,75,3,5,350
İstanbul, Avcılar , Cihangir Mah.,2,1,105,23,2,170
İstanbul, Bakırköy , Zuhuratbaba Mah.,2,1,85,1,1,425
İstanbul, Ataşehir , İçerenköy Mah.,1,1,55,19,1,210
İstanbul, Beyoğlu , Çatma Mescit Mah.,2,1,100,30,1,295
İstanbul, Sarıyer , Rumeli Kavağı Mah.,4,1,160,49,3,500
İstanbul, Beşiktaş , Levazım Mah.,3,1,110,40,3,600
İstanbul, Şişli , Gülbahar Mah.,2,1,90,19,3,220
İstanbul, Kartal , Cevizli Mah.,1,1,85,10,12,350
İstanbul, Şişli , Esentepe Mah.,3,1,200,14,7,2850
İstanbul, Esenyurt , Cumhuriyet Mah.,1,1,82,8,8,220
İstanbul, Sarıyer , Çayırbaşı Mah.,3,1,140,16,5,520
İstanbul, Kadıköy , Caferağa Mah.,4,1,180,15,2,1400
İstanbul, Şişli , Harbiye Mah.,3,1,150,30,4,2500
İstanbul, Esenyurt , Barbaros Hayrettin Paşa Mah.,1,1,82,6,8,220
İstanbul, Sarıyer , Ayazağa Mah.,1,1,85,10,2,650
İstanbul, Sarıyer , Zekeriyaköy Mah.,5,1,385,15,2,2300
